service_id,date,exception_type
2.319.4114,20181012,1
2.319.4114,20181014,1
2.319.4114,20181021,1
2.319.4114,20181028,1
2.319.4114,20181101,1
2.319.4114,20181104,1
2.319.4114,20181111,1
2.319.4114,20181118,1
2.319.4114,20181125,1
2.319.4114,20181202,1
2.319.4114,20181206,1
2.319.4114,20181208,1
2.319.4114,20181209,1
2.319.4114,20181216,1
2.319.4114,20181223,1
2.319.4114,20181225,1
2.319.4114,20181226,1
2.319.4114,20181230,1
2.319.4940,20181002,1
2.319.4940,20181003,1
2.319.4940,20181004,1
2.319.4940,20181005,1
2.319.4940,20181008,1
2.319.4940,20181009,1
2.319.4940,20181010,1
2.319.4940,20181011,1
2.319.4940,20181015,1
2.319.4940,20181016,1
2.319.4940,20181017,1
2.319.4940,20181018,1
2.319.4940,20181019,1
2.319.4940,20181022,1
2.319.4940,20181023,1
2.319.4940,20181024,1
2.319.4940,20181025,1
2.319.4940,20181026,1
2.319.4940,20181029,1
2.319.4940,20181030,1
2.319.4940,20181031,1
2.319.4940,20181102,1
2.319.4940,20181105,1
2.319.4940,20181106,1
2.319.4940,20181107,1
2.319.4940,20181108,1
2.319.4940,20181109,1
2.319.4940,20181112,1
2.319.4940,20181113,1
2.319.4940,20181114,1
2.319.4940,20181115,1
2.319.4940,20181116,1
2.319.4940,20181119,1
2.319.4940,20181120,1
2.319.4940,20181121,1
2.319.4940,20181122,1
2.319.4940,20181123,1
2.319.4940,20181126,1
2.319.4940,20181127,1
2.319.4940,20181128,1
2.319.4940,20181129,1
2.319.4940,20181130,1
2.319.4940,20181203,1
2.319.4940,20181204,1
2.319.4940,20181205,1
2.319.4940,20181207,1
2.319.4940,20181210,1
2.319.4940,20181211,1
2.319.4940,20181212,1
2.319.4940,20181213,1
2.319.4940,20181214,1
2.319.4940,20181217,1
2.319.4940,20181218,1
2.319.4940,20181219,1
2.319.4940,20181220,1
2.319.4940,20181221,1
2.319.4940,20181224,1
2.319.4940,20181227,1
2.319.4940,20181228,1
2.319.4940,20181231,1
2.127.3280,20181002,1
2.127.3280,20181003,1
2.127.3280,20181004,1
2.127.3280,20181005,1
2.127.3280,20181008,1
2.127.3280,20181009,1
2.127.3280,20181010,1
2.127.3280,20181011,1
2.127.3280,20181015,1
2.127.3280,20181016,1
2.127.3280,20181017,1
2.127.3280,20181018,1
2.127.3280,20181019,1
2.127.3280,20181022,1
2.127.3280,20181023,1
2.127.3280,20181024,1
2.127.3280,20181025,1
2.127.3280,20181026,1
2.127.3280,20181029,1
2.127.3280,20181030,1
2.127.3280,20181031,1
2.127.3280,20181102,1
2.127.3280,20181105,1
2.127.3280,20181106,1
2.127.3280,20181107,1
2.127.3280,20181108,1
2.127.3280,20181109,1
2.127.3280,20181112,1
2.127.3280,20181113,1
2.127.3280,20181114,1
2.127.3280,20181115,1
2.127.3280,20181116,1
2.127.3280,20181119,1
2.127.3280,20181120,1
2.127.3280,20181121,1
2.127.3280,20181122,1
2.127.3280,20181123,1
2.127.3280,20181126,1
2.127.3280,20181127,1
2.127.3280,20181128,1
2.127.3280,20181129,1
2.127.3280,20181130,1
2.127.3280,20181203,1
2.127.3280,20181204,1
2.127.3280,20181205,1
2.127.3280,20181207,1
2.127.3280,20181210,1
2.127.3280,20181211,1
2.127.3280,20181212,1
2.127.3280,20181213,1
2.127.3280,20181214,1
2.127.3280,20181217,1
2.127.3280,20181218,1
2.127.3280,20181219,1
2.127.3280,20181220,1
2.127.3280,20181221,1
2.127.3280,20181224,1
2.127.3280,20181227,1
2.127.3280,20181228,1
2.127.3280,20181231,1
2.449.4888,20181002,1
2.449.4888,20181003,1
2.449.4888,20181004,1
2.449.4888,20181009,1
2.449.4888,20181010,1
2.449.4888,20181011,1
2.449.4888,20181015,1
2.449.4888,20181016,1
2.449.4888,20181017,1
2.449.4888,20181018,1
2.449.4888,20181019,1
2.449.4888,20181022,1
2.449.4888,20181023,1
2.449.4888,20181024,1
2.449.4888,20181025,1
2.449.4888,20181026,1
2.449.4888,20181029,1
2.449.4888,20181030,1
2.449.4888,20181031,1
2.449.4888,20181102,1
2.449.4888,20181105,1
2.449.4888,20181106,1
2.449.4888,20181107,1
2.449.4888,20181108,1
2.449.4888,20181109,1
2.449.4888,20181112,1
2.449.4888,20181113,1
2.449.4888,20181114,1
2.449.4888,20181115,1
2.449.4888,20181116,1
2.449.4888,20181119,1
2.449.4888,20181120,1
2.449.4888,20181121,1
2.449.4888,20181122,1
2.449.4888,20181123,1
2.449.4888,20181126,1
2.449.4888,20181127,1
2.449.4888,20181128,1
2.449.4888,20181129,1
2.449.4888,20181130,1
2.449.4888,20181203,1
2.449.4888,20181204,1
2.449.4888,20181205,1
2.449.4888,20181207,1
2.449.4888,20181210,1
2.449.4888,20181211,1
2.449.4888,20181212,1
2.449.4888,20181213,1
2.449.4888,20181214,1
2.449.4888,20181217,1
2.449.4888,20181218,1
2.449.4888,20181219,1
2.449.4888,20181220,1
2.449.4888,20181221,1
2.449.4888,20181224,1
2.449.4888,20181227,1
2.449.4888,20181228,1
2.449.4888,20181231,1
2.451.4598,20181006,1
2.451.4598,20181013,1
2.451.4598,20181020,1
