route_id,route_short_name,route_long_name,route_type,route_url,route_color,route_text_color
2.68,68,Hospital Clínic / Cornellà,3,https://www.tmb.cat/ca/barcelona/autobusos/-/lineabus/68,DC241F,FFFFFF
2.70,70,Rambla de Badal / Bonanova,3,https://www.tmb.cat/ca/barcelona/autobusos/-/lineabus/70,DC241F,FFFFFF
2.75,75,Les Corts / Av. Tibidabo,3,https://www.tmb.cat/ca/barcelona/autobusos/-/lineabus/75,DC241F,FFFFFF
2.76,76,Sant Genís / Ciutat Meridiana,3,https://www.tmb.cat/ca/barcelona/autobusos/-/lineabus/76,DC241F,FFFFFF
2.78,78,Estació de Sants / Sant Joan Despí,3,https://www.tmb.cat/ca/barcelona/autobusos/-/lineabus/78,DC241F,FFFFFF
2.79,79,Pl. Espanya / <M> Av. Carrilet,3,https://www.tmb.cat/ca/barcelona/autobusos/-/lineabus/79,DC241F,FFFFFF
2.91,91,Manso / La Bordeta,3,https://www.tmb.cat/ca/barcelona/autobusos/-/lineabus/91,DC241F,FFFFFF
2.92,92,Pg. Marítim / Av. Tibidabo,3,https://www.tmb.cat/ca/barcelona/autobusos/-/lineabus/92,DC241F,FFFFFF
2.94,94,Barri Almeda / Fontsanta,3,https://www.tmb.cat/ca/barcelona/autobusos/-/lineabus/94,DC241F,FFFFFF
2.95,95,Barri Almeda / Pl. Fontsanta,3,https://www.tmb.cat/ca/barcelona/autobusos/-/lineabus/95,DC241F,FFFFFF
2.96,96,<M> La Sagrera / Montcada i Reixac,3,https://www.tmb.cat/ca/barcelona/autobusos/-/lineabus/96,DC241F,FFFFFF
2.97,97,Pg. Fabra i Puig / Vallbona,3,https://www.tmb.cat/ca/barcelona/autobusos/-/lineabus/97,DC241F,FFFFFF
2.102,102,Pl. Eivissa / Cementiri de Collserola,3,https://www.tmb.cat/ca/barcelona/autobusos/-/lineabus/102,DC241F,FFFFFF
2.103,103,Montcada i Reixac / Cementiri de Collserola,3,https://www.tmb.cat/ca/barcelona/autobusos/-/lineabus/103,DC241F,FFFFFF
2.104,104,Fabra i Puig / Cementiri de Collserola,3,https://www.tmb.cat/ca/barcelona/autobusos/-/lineabus/104,DC241F,FFFFFF
2.107,107,Cementiri Montjuïc,3,https://www.tmb.cat/ca/barcelona/autobusos/-/lineabus/107,DC241F,FFFFFF
2.109,109,Hospital Clínic / Polígon Zona Franca,3,https://www.tmb.cat/ca/barcelona/autobusos/-/lineabus/109,DC241F,FFFFFF
2.110,110,<M> Av. Carrilet / Polígon Zona Franca,3,https://www.tmb.cat/ca/barcelona/autobusos/-/lineabus/110,DC241F,FFFFFF
2.111,111,Tibidabo,3,https://www.tmb.cat/ca/barcelona/autobusos/-/lineabus/111,DC241F,FFFFFF
2.112,112,Sant Genís,3,https://www.tmb.cat/ca/barcelona/autobusos/-/lineabus/112,DC241F,FFFFFF
2.113,113,La Mercè,3,https://www.tmb.cat/ca/barcelona/autobusos/-/lineabus/113,DC241F,FFFFFF
2.114,114,Gràcia / Can Baró,3,https://www.tmb.cat/ca/barcelona/autobusos/-/lineabus/114,DC241F,FFFFFF
2.115,115,La Bordeta,3,https://www.tmb.cat/ca/barcelona/autobusos/-/lineabus/115,DC241F,FFFFFF
2.116,116,La Salut,3,https://www.tmb.cat/ca/barcelona/autobusos/-/lineabus/116,DC241F,FFFFFF
2.117,117,Guinardó,3,https://www.tmb.cat/ca/barcelona/autobusos/-/lineabus/117,DC241F,FFFFFF
2.118,118,Mas Guimbau,3,https://www.tmb.cat/ca/barcelona/autobusos/-/lineabus/118,DC241F,FFFFFF
2.119,119,La Teixonera,3,https://www.tmb.cat/ca/barcelona/autobusos/-/lineabus/119,DC241F,FFFFFF
2.120,120,Ciutat Vella,3,https://www.tmb.cat/ca/barcelona/autobusos/-/lineabus/120,DC241F,FFFFFF
2.121,121,Poble Sec,3,https://www.tmb.cat/ca/barcelona/autobusos/-/lineabus/121,DC241F,FFFFFF
